	CHR	ChromosomePatch
clump1	1	20
clump2	1	21
clump3	1	32
clump4	1	49
clump5	1	92
clump6	1	93
clump7	1	122
clump8	1	176
clump9	1	300
clump10	1	301
clump11	1	307
clump12	1	308
clump13	1	309
clump14	1	310
clump15	1	311
clump16	1	314
clump17	1	326
clump18	1	329
clump19	1	334
clump20	1	335
clump21	1	359
clump22	1	365
clump23	1	366
clump24	1	368
clump25	1	408
clump26	1	409
clump27	1	411
clump28	1	467
clump29	2	17
clump30	2	20
clump31	2	21
clump32	2	31
clump33	2	32
clump34	2	41
clump35	2	86
clump36	2	87
clump37	2	125
clump38	2	126
clump39	2	127
clump40	2	128
clump41	2	133
clump42	2	171
clump43	2	223
clump44	2	242
clump45	2	269
clump46	2	288
clump47	2	337
clump48	2	338
clump49	2	346
clump50	2	347
clump51	2	348
clump52	2	362
clump53	2	403
clump54	2	404
clump55	2	416
clump56	2	427
clump57	2	467
clump58	2	476
clump59	2	477
clump60	2	483
clump61	2	484
clump62	2	485
clump63	3	36
clump64	3	37
clump65	3	46
clump66	3	96
clump67	3	97
clump68	3	98
clump69	3	99
clump70	3	100
clump71	3	129
clump72	3	141
clump73	3	173
clump74	3	174
clump75	3	175
clump76	3	213
clump77	3	214
clump78	3	225
clump79	3	226
clump80	3	255
clump81	3	256
clump82	3	258
clump83	3	259
clump84	3	275
clump85	3	282
clump86	3	303
clump87	3	304
clump88	3	307
clump89	3	320
clump90	3	338
clump91	3	339
clump92	3	340
clump93	3	344
clump94	4	140
clump95	4	147
clump96	4	148
clump97	4	149
clump98	4	155
clump99	4	189
clump100	4	190
clump101	4	191
clump102	4	211
clump103	4	212
clump104	4	213
clump105	4	281
clump106	4	293
clump107	4	303
clump108	4	304
clump109	5	2
clump110	5	3
clump111	5	75
clump112	5	88
clump113	5	112
clump114	5	131
clump115	5	146
clump116	5	267
clump117	5	338
clump118	5	345
clump119	5	353
clump120	5	355
clump121	5	356
clump122	6	3
clump123	6	22
clump124	6	42
clump125	6	43
clump126	6	44
clump127	6	59
clump128	6	60
clump129	6	61
clump130	6	62
clump131	6	63
clump132	6	64
clump133	6	65
clump134	6	66
clump135	6	69
clump136	6	70
clump137	6	83
clump138	6	87
clump139	6	152
clump140	6	153
clump141	6	218
clump142	6	219
clump143	6	233
clump144	6	234
clump145	6	235
clump146	6	268
clump147	6	306
clump148	6	307
clump149	6	319
clump150	6	320
clump151	6	321
clump152	6	322
clump153	7	3
clump154	7	4
clump155	7	40
clump156	7	41
clump157	7	42
clump158	7	43
clump159	7	54
clump160	7	55
clump161	7	56
clump162	7	72
clump163	7	81
clump164	7	94
clump165	7	95
clump166	7	185
clump167	7	195
clump168	7	196
clump169	8	16
clump170	8	17
clump171	8	22
clump172	8	45
clump173	8	46
clump174	8	47
clump175	8	51
clump176	8	52
clump177	8	77
clump178	8	198
clump179	8	217
clump180	8	218
clump181	8	219
clump182	8	255
clump183	8	256
clump184	8	257
clump185	8	289
clump186	9	21
clump187	9	37
clump188	9	38
clump189	9	43
clump190	9	44
clump191	9	67
clump192	9	68
clump193	9	164
clump194	9	219
clump195	9	220
clump196	9	260
clump197	9	265
clump198	9	280
clump199	10	1
clump200	10	11
clump201	10	90
clump202	10	91
clump203	10	92
clump204	10	93
clump205	10	94
clump206	10	95
clump207	10	98
clump208	10	102
clump209	10	103
clump210	10	125
clump211	10	160
clump212	10	161
clump213	10	180
clump214	10	208
clump215	10	209
clump216	10	211
clump217	10	229
clump218	10	245
clump219	10	246
clump220	10	253
clump221	11	3
clump222	11	4
clump223	11	14
clump224	11	15
clump225	11	65
clump226	11	94
clump227	11	115
clump228	11	117
clump229	11	118
clump230	11	123
clump231	11	130
clump232	11	131
clump233	11	132
clump234	11	133
clump235	11	134
clump236	11	135
clump237	11	137
clump238	11	138
clump239	11	139
clump240	11	152
clump241	11	204
clump242	11	216
clump243	11	226
clump244	11	227
clump245	11	250
clump246	11	251
clump247	11	268
clump248	12	25
clump249	12	28
clump250	12	29
clump251	12	96
clump252	12	97
clump253	12	99
clump254	12	106
clump255	12	129
clump256	12	130
clump257	12	180
clump258	12	184
clump259	12	204
clump260	12	205
clump261	12	229
clump262	12	266
clump263	13	101
clump264	13	102
clump265	13	147
clump266	13	148
clump267	13	183
clump268	13	184
clump269	13	220
clump270	14	46
clump271	14	73
clump272	14	74
clump273	14	75
clump274	14	76
clump275	14	106
clump276	14	121
clump277	14	122
clump278	14	123
clump279	14	137
clump280	14	138
clump281	14	141
clump282	14	142
clump283	14	183
clump284	14	189
clump285	15	66
clump286	15	81
clump287	15	82
clump288	15	111
clump289	15	112
clump290	15	113
clump291	15	133
clump292	15	141
clump293	15	180
clump294	15	198
clump295	16	9
clump296	16	108
clump297	16	109
clump298	16	115
clump299	16	134
clump300	16	143
clump301	16	159
clump302	16	164
clump303	16	170
clump304	17	0
clump305	17	1
clump306	17	15
clump307	17	24
clump308	17	25
clump309	17	35
clump310	17	60
clump311	17	71
clump312	17	72
clump313	17	91
clump314	17	92
clump315	17	93
clump316	17	94
clump317	17	95
clump318	17	112
clump319	17	113
clump320	17	114
clump321	17	138
clump322	18	103
clump323	18	106
clump324	18	107
clump325	18	113
clump326	18	121
clump327	18	146
clump328	18	149
clump329	18	153
clump330	18	154
clump331	19	34
clump332	19	64
clump333	19	76
clump334	19	77
clump335	19	83
clump336	19	84
clump337	19	96
clump338	19	100
clump339	19	102
clump340	20	21
clump341	20	50
clump342	20	62
clump343	20	67
clump344	20	68
clump345	20	98
clump346	20	99
clump347	20	104
clump348	20	117
clump349	20	121
clump350	20	122
clump351	20	124
clump352	21	32
clump353	21	71
clump354	21	80
clump355	21	85
clump356	22	39
clump357	22	56
clump358	22	57
clump359	22	58
clump360	22	60
clump361	22	77
clump362	22	78
clump363	22	80
clump364	22	81
clump365	22	82
clump366	22	86
clump367	22	87
clump368	22	91
clump369	23	17
clump370	23	19
clump371	23	22
clump372	23	23
clump373	23	61
clump374	23	99
clump375	23	101
clump376	23	102
clump377	23	103
clump378	23	104
clump379	23	105
clump380	23	106
clump381	23	131
clump382	23	132
clump383	23	133
clump384	23	134
clump385	23	139
clump386	23	140
clump387	23	249
