	CHR	ChromosomePatch
clump1	1	20
clump2	1	21
clump3	1	32
clump4	1	92
clump5	1	93
clump6	1	176
clump7	1	300
clump8	1	301
clump9	1	307
clump10	1	308
clump11	1	309
clump12	1	310
clump13	1	311
clump14	1	314
clump15	1	326
clump16	1	334
clump17	1	359
clump18	1	365
clump19	1	366
clump20	1	408
clump21	1	409
clump22	1	411
clump23	2	17
clump24	2	20
clump25	2	21
clump26	2	31
clump27	2	32
clump28	2	41
clump29	2	86
clump30	2	87
clump31	2	125
clump32	2	126
clump33	2	127
clump34	2	128
clump35	2	133
clump36	2	171
clump37	2	223
clump38	2	242
clump39	2	338
clump40	2	346
clump41	2	347
clump42	2	348
clump43	2	404
clump44	2	416
clump45	2	476
clump46	2	483
clump47	2	484
clump48	2	485
clump49	3	37
clump50	3	46
clump51	3	99
clump52	3	141
clump53	3	173
clump54	3	174
clump55	3	175
clump56	3	213
clump57	3	214
clump58	3	225
clump59	3	226
clump60	3	255
clump61	3	256
clump62	3	259
clump63	3	275
clump64	3	282
clump65	3	303
clump66	3	304
clump67	3	338
clump68	3	339
clump69	3	340
clump70	3	344
clump71	4	147
clump72	4	148
clump73	4	149
clump74	4	190
clump75	4	191
clump76	4	211
clump77	4	212
clump78	4	281
clump79	4	293
clump80	4	303
clump81	4	304
clump82	5	2
clump83	5	3
clump84	5	75
clump85	5	112
clump86	5	267
clump87	5	338
clump88	5	355
clump89	6	3
clump90	6	22
clump91	6	42
clump92	6	43
clump93	6	44
clump94	6	59
clump95	6	60
clump96	6	61
clump97	6	62
clump98	6	63
clump99	6	64
clump100	6	65
clump101	6	66
clump102	6	69
clump103	6	83
clump104	6	87
clump105	6	152
clump106	6	153
clump107	6	218
clump108	6	219
clump109	6	234
clump110	6	268
clump111	6	306
clump112	6	307
clump113	6	319
clump114	6	320
clump115	6	321
clump116	6	322
clump117	7	3
clump118	7	40
clump119	7	41
clump120	7	42
clump121	7	43
clump122	7	54
clump123	7	55
clump124	7	56
clump125	7	81
clump126	7	94
clump127	7	95
clump128	7	185
clump129	7	195
clump130	7	196
clump131	8	16
clump132	8	17
clump133	8	22
clump134	8	46
clump135	8	47
clump136	8	51
clump137	8	52
clump138	8	77
clump139	8	217
clump140	8	255
clump141	8	256
clump142	8	257
clump143	9	37
clump144	9	38
clump145	9	43
clump146	9	44
clump147	9	67
clump148	9	68
clump149	9	164
clump150	9	219
clump151	9	220
clump152	9	260
clump153	9	265
clump154	9	280
clump155	10	1
clump156	10	90
clump157	10	91
clump158	10	92
clump159	10	94
clump160	10	95
clump161	10	102
clump162	10	103
clump163	10	125
clump164	10	160
clump165	10	161
clump166	10	180
clump167	10	208
clump168	10	209
clump169	10	229
clump170	10	245
clump171	10	246
clump172	10	253
clump173	11	3
clump174	11	4
clump175	11	15
clump176	11	117
clump177	11	118
clump178	11	123
clump179	11	130
clump180	11	132
clump181	11	133
clump182	11	134
clump183	11	137
clump184	11	138
clump185	11	152
clump186	11	204
clump187	11	216
clump188	11	226
clump189	11	227
clump190	11	250
clump191	11	268
clump192	12	25
clump193	12	28
clump194	12	96
clump195	12	97
clump196	12	99
clump197	12	106
clump198	12	129
clump199	12	130
clump200	12	180
clump201	12	204
clump202	12	205
clump203	12	229
clump204	12	266
clump205	13	101
clump206	13	102
clump207	13	147
clump208	13	148
clump209	13	220
clump210	14	46
clump211	14	73
clump212	14	74
clump213	14	76
clump214	14	106
clump215	14	121
clump216	14	122
clump217	14	123
clump218	14	137
clump219	14	138
clump220	14	141
clump221	14	142
clump222	15	81
clump223	15	82
clump224	15	112
clump225	15	133
clump226	15	141
clump227	16	108
clump228	16	109
clump229	16	115
clump230	16	159
clump231	16	164
clump232	17	0
clump233	17	1
clump234	17	15
clump235	17	24
clump236	17	25
clump237	17	60
clump238	17	72
clump239	17	91
clump240	17	92
clump241	17	93
clump242	17	94
clump243	17	95
clump244	17	112
clump245	17	138
clump246	18	103
clump247	18	113
clump248	18	121
clump249	18	146
clump250	18	153
clump251	18	154
clump252	19	34
clump253	19	64
clump254	19	77
clump255	19	83
clump256	19	84
clump257	19	102
clump258	20	67
clump259	20	68
clump260	20	98
clump261	20	99
clump262	20	104
clump263	20	124
clump264	21	80
clump265	21	85
clump266	22	39
clump267	22	56
clump268	22	57
clump269	22	58
clump270	22	77
clump271	22	78
clump272	22	80
clump273	22	81
clump274	22	82
clump275	22	86
clump276	22	87
clump277	22	91
clump278	23	19
clump279	23	22
clump280	23	61
clump281	23	101
clump282	23	102
clump283	23	103
clump284	23	104
clump285	23	105
clump286	23	106
clump287	23	133
clump288	23	134
clump289	23	139
clump290	23	140
