	CHR	ChromosomePatch
clump1	1	2
clump2	1	3
clump3	1	4
clump4	1	5
clump5	1	6
clump6	1	8
clump7	1	9
clump8	1	10
clump9	1	11
clump10	1	13
clump11	1	14
clump12	1	15
clump13	1	16
clump14	1	17
clump15	1	18
clump16	1	19
clump17	1	20
clump18	1	21
clump19	1	22
clump20	1	24
clump21	1	26
clump22	1	27
clump23	1	28
clump24	1	30
clump25	1	31
clump26	1	32
clump27	1	33
clump28	1	34
clump29	1	35
clump30	1	36
clump31	1	37
clump32	1	38
clump33	1	39
clump34	1	40
clump35	1	41
clump36	1	42
clump37	1	43
clump38	1	44
clump39	1	45
clump40	1	46
clump41	1	47
clump42	1	48
clump43	1	49
clump44	1	51
clump45	1	52
clump46	1	53
clump47	1	54
clump48	1	55
clump49	1	56
clump50	1	57
clump51	1	58
clump52	1	59
clump53	1	60
clump54	1	61
clump55	1	62
clump56	1	63
clump57	1	64
clump58	1	66
clump59	1	67
clump60	1	68
clump61	1	69
clump62	1	70
clump63	1	71
clump64	1	73
clump65	1	74
clump66	1	75
clump67	1	76
clump68	1	77
clump69	1	78
clump70	1	79
clump71	1	80
clump72	1	81
clump73	1	82
clump74	1	84
clump75	1	85
clump76	1	86
clump77	1	87
clump78	1	88
clump79	1	89
clump80	1	91
clump81	1	92
clump82	1	93
clump83	1	95
clump84	1	96
clump85	1	98
clump86	1	101
clump87	1	102
clump88	1	103
clump89	1	105
clump90	1	106
clump91	1	107
clump92	1	108
clump93	1	109
clump94	1	111
clump95	1	112
clump96	1	113
clump97	1	115
clump98	1	117
clump99	1	119
clump100	1	120
clump101	1	121
clump102	1	122
clump103	1	123
clump104	1	124
clump105	1	125
clump106	1	127
clump107	1	130
clump108	1	131
clump109	1	135
clump110	1	138
clump111	1	139
clump112	1	140
clump113	1	142
clump114	1	143
clump115	1	144
clump116	1	147
clump117	1	148
clump118	1	149
clump119	1	151
clump120	1	153
clump121	1	154
clump122	1	155
clump123	1	156
clump124	1	157
clump125	1	158
clump126	1	160
clump127	1	161
clump128	1	162
clump129	1	163
clump130	1	165
clump131	1	166
clump132	1	167
clump133	1	170
clump134	1	171
clump135	1	175
clump136	1	176
clump137	1	177
clump138	1	179
clump139	1	180
clump140	1	181
clump141	1	182
clump142	1	183
clump143	1	185
clump144	1	186
clump145	1	187
clump146	1	188
clump147	1	189
clump148	1	190
clump149	1	191
clump150	1	192
clump151	1	193
clump152	1	195
clump153	1	196
clump154	1	197
clump155	1	198
clump156	1	199
clump157	1	202
clump158	1	203
clump159	1	204
clump160	1	205
clump161	1	206
clump162	1	207
clump163	1	210
clump164	1	212
clump165	1	214
clump166	1	215
clump167	1	216
clump168	1	217
clump169	1	218
clump170	1	219
clump171	1	222
clump172	1	223
clump173	1	224
clump174	1	225
clump175	1	226
clump176	1	227
clump177	1	228
clump178	1	229
clump179	1	230
clump180	1	231
clump181	1	232
clump182	1	234
clump183	1	235
clump184	1	236
clump185	1	237
clump186	1	239
clump187	1	240
clump188	1	241
clump189	1	242
clump190	1	285
clump191	1	287
clump192	1	288
clump193	1	289
clump194	1	290
clump195	1	291
clump196	1	293
clump197	1	298
clump198	1	299
clump199	1	300
clump200	1	301
clump201	1	302
clump202	1	303
clump203	1	304
clump204	1	306
clump205	1	307
clump206	1	308
clump207	1	309
clump208	1	310
clump209	1	311
clump210	1	312
