	CHR	ChromosomePatch
clump1	1	6
clump2	1	8
clump3	1	9
clump4	1	16
clump5	1	19
clump6	1	20
clump7	1	21
clump8	1	32
clump9	1	33
clump10	1	36
clump11	1	47
clump12	1	48
clump13	1	49
clump14	1	51
clump15	1	53
clump16	1	55
clump17	1	56
clump18	1	61
clump19	1	62
clump20	1	63
clump21	1	67
clump22	1	75
clump23	1	76
clump24	1	84
clump25	1	88
clump26	1	89
clump27	1	92
clump28	1	93
clump29	1	101
clump30	1	102
clump31	1	105
clump32	1	109
clump33	1	111
clump34	1	120
clump35	1	122
clump36	1	123
clump37	1	138
clump38	1	140
clump39	1	155
clump40	1	156
clump41	1	158
clump42	1	161
clump43	1	163
clump44	1	166
clump45	1	171
clump46	1	176
clump47	1	180
clump48	1	182
clump49	1	183
clump50	1	186
clump51	1	187
clump52	1	192
clump53	1	203
clump54	1	214
clump55	1	222
clump56	1	224
clump57	1	226
clump58	1	228
clump59	1	230
clump60	1	235
clump61	1	239
clump62	1	242
clump63	1	285
clump64	1	298
clump65	1	299
clump66	1	300
clump67	1	301
clump68	1	302
clump69	1	303
clump70	1	304
clump71	1	307
clump72	1	308
clump73	1	309
clump74	1	310
clump75	1	311
clump76	1	312
clump77	1	313
clump78	1	314
clump79	1	319
clump80	1	320
clump81	1	323
clump82	1	326
clump83	1	329
clump84	1	333
clump85	1	334
clump86	1	335
clump87	1	338
clump88	1	346
clump89	1	348
clump90	1	354
clump91	1	356
clump92	1	357
clump93	1	358
clump94	1	359
clump95	1	360
clump96	1	364
clump97	1	365
clump98	1	366
clump99	1	368
clump100	1	384
clump101	1	399
clump102	1	400
clump103	1	401
clump104	1	402
clump105	1	404
clump106	1	408
clump107	1	409
clump108	1	411
clump109	1	424
clump110	1	426
clump111	1	437
clump112	1	438
clump113	1	446
clump114	1	454
clump115	1	456
clump116	1	459
clump117	1	467
clump118	1	472
clump119	1	480
clump120	1	483
clump121	1	493
clump122	1	494
clump123	2	0
clump124	2	1
clump125	2	17
clump126	2	20
clump127	2	21
clump128	2	22
clump129	2	31
clump130	2	32
clump131	2	35
clump132	2	36
clump133	2	41
clump134	2	42
clump135	2	47
