	CHR	ChromosomePatch
clump1	1	80
clump2	1	81
clump3	1	82
clump4	1	83
clump5	1	84
clump6	1	85
clump7	1	130
clump8	1	131
clump9	1	196
clump10	1	197
clump11	1	198
clump12	1	251
clump13	1	368
clump14	1	369
clump15	1	370
clump16	1	371
clump17	1	372
clump18	1	373
clump19	1	374
clump20	1	375
clump21	1	410
clump22	1	411
clump23	1	444
clump24	1	483
clump25	1	491
clump26	1	705
clump27	1	734
clump28	1	920
clump29	1	1141
clump30	1	1200
clump31	1	1201
clump32	1	1202
clump33	1	1203
clump34	1	1204
clump35	1	1205
clump36	1	1206
clump37	1	1207
clump38	1	1208
clump39	1	1209
clump40	1	1230
clump41	1	1231
clump42	1	1232
clump43	1	1233
clump44	1	1234
clump45	1	1238
clump46	1	1239
clump47	1	1240
clump48	1	1241
clump49	1	1242
clump50	1	1243
clump51	1	1244
clump52	1	1245
clump53	1	1246
clump54	1	1247
clump55	1	1248
clump56	1	1256
clump57	1	1257
clump58	1	1305
clump59	1	1306
clump60	1	1317
clump61	1	1319
clump62	1	1336
clump63	1	1337
clump64	1	1338
clump65	1	1339
clump66	1	1341
clump67	1	1353
clump68	1	1394
clump69	1	1437
clump70	1	1438
clump71	1	1439
clump72	1	1463
clump73	1	1464
clump74	1	1472
clump75	1	1473
clump76	1	1474
clump77	1	1475
clump78	1	1598
clump79	1	1599
clump80	1	1604
clump81	1	1605
clump82	1	1607
clump83	1	1608
clump84	1	1632
clump85	1	1635
clump86	1	1636
clump87	1	1638
clump88	1	1644
clump89	1	1645
clump90	1	1646
clump91	1	1868
clump92	2	7
clump93	2	68
clump94	2	80
clump95	2	81
clump96	2	85
clump97	2	86
clump98	2	87
clump99	2	127
clump100	2	128
clump101	2	167
clump102	2	168
clump103	2	223
clump104	2	224
clump105	2	227
clump106	2	266
clump107	2	303
clump108	2	338
clump109	2	342
clump110	2	344
clump111	2	345
clump112	2	347
clump113	2	348
clump114	2	349
clump115	2	350
clump116	2	351
clump117	2	379
clump118	2	466
clump119	2	467
clump120	2	501
clump121	2	502
clump122	2	503
clump123	2	504
clump124	2	505
clump125	2	506
clump126	2	507
clump127	2	508
clump128	2	509
clump129	2	510
clump130	2	511
clump131	2	512
clump132	2	513
clump133	2	514
clump134	2	515
clump135	2	520
clump136	2	532
clump137	2	533
clump138	2	554
clump139	2	685
clump140	2	686
clump141	2	687
clump142	2	894
clump143	2	895
clump144	2	907
clump145	2	968
clump146	2	970
clump147	2	971
clump148	2	1074
clump149	2	1076
clump150	2	1154
clump151	2	1188
clump152	2	1189
clump153	2	1334
clump154	2	1335
clump155	2	1351
clump156	2	1352
clump157	2	1353
clump158	2	1385
clump159	2	1386
clump160	2	1387
clump161	2	1388
clump162	2	1389
clump163	2	1390
clump164	2	1391
clump165	2	1393
clump166	2	1415
clump167	2	1449
clump168	2	1450
clump169	2	1583
clump170	2	1613
clump171	2	1615
clump172	2	1616
clump173	2	1617
clump174	2	1618
clump175	2	1664
clump176	2	1711
clump177	2	1868
clump178	2	1906
clump179	2	1907
clump180	2	1908
clump181	2	1931
clump182	2	1932
clump183	2	1933
clump184	2	1934
clump185	2	1935
clump186	2	1936
clump187	2	1937
clump188	2	1938
clump189	2	1939
clump190	2	1940
clump191	2	1941
clump192	3	92
clump193	3	145
clump194	3	146
clump195	3	148
clump196	3	149
clump197	3	150
clump198	3	184
clump199	3	185
clump200	3	192
clump201	3	350
clump202	3	385
clump203	3	386
clump204	3	387
clump205	3	388
clump206	3	389
clump207	3	390
clump208	3	391
clump209	3	392
clump210	3	393
clump211	3	394
clump212	3	395
clump213	3	396
clump214	3	397
clump215	3	398
clump216	3	399
clump217	3	400
clump218	3	401
clump219	3	455
clump220	3	456
clump221	3	519
clump222	3	566
clump223	3	567
clump224	3	692
clump225	3	693
clump226	3	694
clump227	3	695
clump228	3	696
clump229	3	697
clump230	3	698
clump231	3	699
clump232	3	702
clump233	3	703
clump234	3	704
clump235	3	706
clump236	3	721
clump237	3	855
clump238	3	857
clump239	3	903
clump240	3	904
clump241	3	905
clump242	3	906
clump243	3	917
clump244	3	1020
clump245	3	1021
clump246	3	1022
clump247	3	1023
clump248	3	1024
clump249	3	1025
clump250	3	1026
clump251	3	1034
clump252	3	1035
clump253	3	1036
clump254	3	1037
clump255	3	1055
clump256	3	1056
clump257	3	1099
clump258	3	1100
clump259	3	1128
clump260	3	1129
clump261	3	1130
clump262	3	1174
clump263	3	1203
clump264	3	1215
clump265	3	1216
clump266	3	1217
clump267	3	1228
clump268	3	1229
clump269	3	1280
clump270	3	1281
clump271	3	1282
clump272	3	1283
clump273	3	1322
clump274	3	1323
clump275	3	1352
clump276	3	1355
clump277	3	1356
clump278	3	1357
clump279	3	1358
clump280	3	1359
clump281	3	1360
clump282	3	1361
clump283	3	1367
clump284	3	1377
clump285	3	1379
clump286	3	1516
clump287	4	4
clump288	4	5
clump289	4	315
clump290	4	437
clump291	4	560
clump292	4	561
clump293	4	562
clump294	4	589
clump295	4	590
clump296	4	591
clump297	4	592
clump298	4	593
clump299	4	594
clump300	4	595
clump301	4	596
clump302	4	597
clump303	4	620
clump304	4	621
clump305	4	718
clump306	4	758
clump307	4	759
clump308	4	761
clump309	4	762
clump310	4	763
clump311	4	764
clump312	4	844
clump313	4	845
clump314	4	847
clump315	4	848
clump316	4	849
clump317	4	850
clump318	4	851
clump319	4	852
clump320	4	853
clump321	4	854
clump322	4	1127
clump323	4	1175
clump324	4	1206
clump325	4	1215
clump326	4	1216
clump327	4	1217
clump328	4	1383
clump329	4	1422
clump330	4	1430
