	CHR	ChromosomePatch
clump1	1	81
clump2	1	82
clump3	1	83
clump4	1	84
clump5	1	85
clump6	1	130
clump7	1	131
clump8	1	197
clump9	1	368
clump10	1	369
clump11	1	370
clump12	1	371
clump13	1	372
clump14	1	373
clump15	1	374
clump16	1	491
clump17	1	705
clump18	1	1201
clump19	1	1202
clump20	1	1203
clump21	1	1204
clump22	1	1205
clump23	1	1206
clump24	1	1207
clump25	1	1230
clump26	1	1231
clump27	1	1232
clump28	1	1233
clump29	1	1234
clump30	1	1238
clump31	1	1239
clump32	1	1240
clump33	1	1241
clump34	1	1242
clump35	1	1243
clump36	1	1244
clump37	1	1245
clump38	1	1256
clump39	1	1306
clump40	1	1317
clump41	1	1336
clump42	1	1337
clump43	1	1341
clump44	1	1438
clump45	1	1439
clump46	1	1463
clump47	1	1464
clump48	1	1473
clump49	1	1632
clump50	1	1635
clump51	1	1636
clump52	1	1645
clump53	1	1646
clump54	1	1868
clump55	2	68
clump56	2	80
clump57	2	81
clump58	2	85
clump59	2	86
clump60	2	127
clump61	2	128
clump62	2	167
clump63	2	344
clump64	2	345
clump65	2	347
clump66	2	348
clump67	2	349
clump68	2	350
clump69	2	351
clump70	2	501
clump71	2	502
clump72	2	503
clump73	2	504
clump74	2	505
clump75	2	506
clump76	2	507
clump77	2	508
clump78	2	509
clump79	2	510
clump80	2	511
clump81	2	512
clump82	2	513
clump83	2	514
clump84	2	515
clump85	2	533
clump86	2	685
clump87	2	686
clump88	2	687
clump89	2	894
clump90	2	895
clump91	2	968
clump92	2	970
clump93	2	971
clump94	2	1076
clump95	2	1154
clump96	2	1351
clump97	2	1352
clump98	2	1385
clump99	2	1386
clump100	2	1387
clump101	2	1388
clump102	2	1389
clump103	2	1393
clump104	2	1449
clump105	2	1450
clump106	2	1615
clump107	2	1616
clump108	2	1617
clump109	2	1618
clump110	2	1664
clump111	2	1711
clump112	2	1868
clump113	2	1906
clump114	2	1907
clump115	2	1908
clump116	2	1932
clump117	2	1934
clump118	2	1935
clump119	2	1936
clump120	2	1937
clump121	2	1938
clump122	2	1939
clump123	2	1940
clump124	2	1941
clump125	3	145
clump126	3	146
clump127	3	148
clump128	3	149
clump129	3	150
clump130	3	184
clump131	3	185
clump132	3	386
clump133	3	389
clump134	3	390
clump135	3	391
clump136	3	392
clump137	3	394
clump138	3	395
clump139	3	396
clump140	3	397
clump141	3	398
clump142	3	399
clump143	3	400
clump144	3	401
clump145	3	519
clump146	3	566
clump147	3	567
clump148	3	693
clump149	3	694
clump150	3	695
clump151	3	696
clump152	3	697
clump153	3	698
clump154	3	699
clump155	3	702
clump156	3	855
clump157	3	857
clump158	3	903
clump159	3	904
clump160	3	905
clump161	3	906
clump162	3	1020
clump163	3	1021
clump164	3	1022
clump165	3	1023
clump166	3	1024
clump167	3	1025
clump168	3	1026
clump169	3	1035
clump170	3	1036
clump171	3	1037
clump172	3	1100
clump173	3	1128
clump174	3	1129
clump175	3	1215
clump176	3	1216
clump177	3	1217
clump178	3	1229
clump179	3	1283
clump180	3	1352
clump181	3	1355
clump182	3	1356
clump183	3	1357
clump184	3	1358
clump185	3	1359
clump186	3	1360
clump187	3	1361
clump188	3	1377
clump189	3	1379
clump190	4	560
clump191	4	561
clump192	4	589
clump193	4	590
clump194	4	591
clump195	4	592
clump196	4	593
clump197	4	594
clump198	4	595
clump199	4	596
clump200	4	620
clump201	4	758
clump202	4	761
clump203	4	762
clump204	4	763
clump205	4	764
clump206	4	847
clump207	4	848
clump208	4	849
clump209	4	850
clump210	4	851
clump211	4	853
clump212	4	1127
clump213	4	1175
clump214	4	1215
clump215	4	1216
clump216	4	1217
clump217	5	9
clump218	5	10
clump219	5	12
clump220	5	14
clump221	5	15
clump222	5	302
clump223	5	354
clump224	5	355
clump225	5	448
clump226	5	449
clump227	5	450
clump228	5	526
clump229	5	587
clump230	5	1070
clump231	5	1071
clump232	5	1352
clump233	5	1353
clump234	5	1383
clump235	5	1412
clump236	5	1413
clump237	5	1421
clump238	5	1422
clump239	5	1423
clump240	5	1424
clump241	6	13
clump242	6	89
clump243	6	90
clump244	6	170
clump245	6	171
clump246	6	174
clump247	6	175
clump248	6	178
clump249	6	236
clump250	6	237
clump251	6	238
clump252	6	239
clump253	6	240
clump254	6	241
clump255	6	242
clump256	6	243
clump257	6	244
clump258	6	245
clump259	6	246
clump260	6	247
clump261	6	248
clump262	6	249
clump263	6	250
clump264	6	251
clump265	6	252
clump266	6	253
clump267	6	254
clump268	6	255
clump269	6	256
clump270	6	257
clump271	6	258
clump272	6	259
clump273	6	260
clump274	6	261
clump275	6	262
clump276	6	263
clump277	6	264
clump278	6	265
clump279	6	276
clump280	6	277
clump281	6	278
clump282	6	279
clump283	6	280
clump284	6	281
clump285	6	332
clump286	6	349
clump287	6	609
clump288	6	610
clump289	6	611
clump290	6	612
clump291	6	874
clump292	6	875
clump293	6	876
clump294	6	934
clump295	6	936
clump296	6	937
clump297	6	938
clump298	6	939
clump299	6	940
clump300	6	1074
clump301	6	1226
clump302	6	1227
clump303	6	1228
clump304	6	1279
clump305	6	1280
clump306	6	1281
clump307	6	1282
clump308	6	1283
clump309	6	1284
clump310	6	1285
clump311	6	1286
clump312	6	1287
clump313	6	1288
clump314	6	1289
clump315	6	1290
clump316	6	1291
clump317	7	15
clump318	7	16
clump319	7	162
clump320	7	163
clump321	7	166
clump322	7	167
clump323	7	168
clump324	7	169
clump325	7	170
clump326	7	174
clump327	7	217
clump328	7	219
clump329	7	220
clump330	7	221
clump331	7	222
clump332	7	223
clump333	7	224
clump334	7	291
clump335	7	326
clump336	7	327
clump337	7	379
clump338	7	380
clump339	7	381
clump340	7	740
clump341	7	781
clump342	7	782
clump343	7	783
clump344	7	784
clump345	8	67
clump346	8	68
clump347	8	89
clump348	8	183
clump349	8	185
clump350	8	186
clump351	8	187
clump352	8	188
clump353	8	207
clump354	8	208
clump355	8	308
clump356	8	309
clump357	8	793
clump358	8	871
clump359	8	872
clump360	8	873
clump361	8	878
clump362	8	1021
clump363	8	1022
clump364	8	1023
clump365	8	1024
clump366	8	1025
clump367	8	1026
clump368	8	1027
clump369	8	1028
clump370	8	1029
clump371	8	1158
clump372	9	84
clump373	9	148
clump374	9	151
clump375	9	152
clump376	9	175
clump377	9	176
clump378	9	269
clump379	9	270
clump380	9	271
clump381	9	272
clump382	9	656
clump383	9	876
clump384	9	881
clump385	9	882
clump386	9	1043
clump387	9	1060
clump388	9	1121
clump389	10	6
clump390	10	7
clump391	10	45
clump392	10	363
clump393	10	364
clump394	10	365
clump395	10	366
clump396	10	367
clump397	10	368
clump398	10	369
clump399	10	372
clump400	10	376
clump401	10	380
clump402	10	381
clump403	10	393
clump404	10	409
clump405	10	410
clump406	10	411
clump407	10	412
clump408	10	413
clump409	10	502
clump410	10	641
clump411	10	642
