	CHR	ChromosomePatch
clump1	1	8
clump2	1	9
clump3	1	10
clump4	1	11
clump5	1	14
clump6	1	17
clump7	1	21
clump8	1	22
clump9	1	25
clump10	1	26
clump11	1	27
clump12	1	34
clump13	1	35
clump14	1	36
clump15	1	37
clump16	1	38
clump17	1	40
clump18	1	41
clump19	1	44
clump20	1	45
clump21	1	46
clump22	1	52
clump23	1	53
clump24	1	55
clump25	1	56
clump26	1	61
clump27	1	63
clump28	1	64
clump29	1	69
clump30	1	74
clump31	1	79
clump32	1	80
clump33	1	81
clump34	1	82
clump35	1	83
clump36	1	84
clump37	1	85
clump38	1	86
clump39	1	91
clump40	1	96
clump41	1	97
clump42	1	107
clump43	1	110
clump44	1	113
clump45	1	122
clump46	1	124
clump47	1	126
clump48	1	128
clump49	1	129
clump50	1	130
clump51	1	131
clump52	1	133
clump53	1	134
clump54	1	138
clump55	1	140
clump56	1	143
clump57	1	145
clump58	1	147
clump59	1	149
clump60	1	152
clump61	1	153
clump62	1	154
clump63	1	159
clump64	1	161
clump65	1	162
clump66	1	163
clump67	1	164
clump68	1	168
clump69	1	169
clump70	1	174
clump71	1	176
clump72	1	177
clump73	1	180
clump74	1	181
clump75	1	185
clump76	1	189
clump77	1	190
clump78	1	192
clump79	1	195
clump80	1	196
clump81	1	197
clump82	1	198
clump83	1	204
clump84	1	205
clump85	1	206
clump86	1	209
clump87	1	210
clump88	1	213
clump89	1	214
clump90	1	215
clump91	1	218
clump92	1	220
clump93	1	221
clump94	1	222
clump95	1	224
clump96	1	225
clump97	1	226
clump98	1	227
clump99	1	228
clump100	1	229
clump101	1	230
clump102	1	231
clump103	1	232
clump104	1	237
clump105	1	240
clump106	1	245
clump107	1	247
clump108	1	249
clump109	1	250
clump110	1	251
clump111	1	252
clump112	1	253
clump113	1	254
clump114	1	255
clump115	1	259
clump116	1	264
clump117	1	265
clump118	1	268
clump119	1	270
clump120	1	271
clump121	1	273
clump122	1	274
clump123	1	275
clump124	1	276
clump125	1	283
clump126	1	284
clump127	1	295
clump128	1	296
clump129	1	303
clump130	1	304
clump131	1	305
clump132	1	306
clump133	1	309
clump134	1	310
clump135	1	311
clump136	1	313
clump137	1	314
clump138	1	316
clump139	1	322
clump140	1	326
clump141	1	329
clump142	1	337
clump143	1	338
clump144	1	341
clump145	1	346
clump146	1	349
clump147	1	353
clump148	1	354
clump149	1	359
clump150	1	364
clump151	1	367
clump152	1	368
clump153	1	369
clump154	1	370
clump155	1	371
clump156	1	372
clump157	1	373
clump158	1	374
clump159	1	375
clump160	1	380
clump161	1	382
clump162	1	384
clump163	1	386
clump164	1	393
clump165	1	405
clump166	1	406
clump167	1	407
clump168	1	408
clump169	1	409
clump170	1	410
clump171	1	411
clump172	1	412
clump173	1	421
clump174	1	422
clump175	1	424
clump176	1	425
clump177	1	426
clump178	1	427
clump179	1	428
clump180	1	429
clump181	1	433
clump182	1	434
clump183	1	435
clump184	1	438
clump185	1	439
clump186	1	444
clump187	1	445
clump188	1	449
clump189	1	451
clump190	1	455
clump191	1	463
clump192	1	470
clump193	1	478
clump194	1	480
clump195	1	481
clump196	1	483
clump197	1	484
clump198	1	491
clump199	1	494
clump200	1	497
clump201	1	500
clump202	1	509
clump203	1	521
clump204	1	525
clump205	1	541
clump206	1	542
clump207	1	553
clump208	1	554
clump209	1	556
clump210	1	557
clump211	1	559
clump212	1	560
clump213	1	562
clump214	1	569
clump215	1	572
clump216	1	573
clump217	1	574
clump218	1	577
clump219	1	578
clump220	1	591
clump221	1	595
clump222	1	596
clump223	1	597
clump224	1	604
clump225	1	615
clump226	1	616
clump227	1	617
clump228	1	618
clump229	1	619
clump230	1	620
clump231	1	623
