	CHR	ChromosomePatch
clump1	1	25
clump2	1	35
clump3	1	38
clump4	1	64
clump5	1	79
clump6	1	80
clump7	1	81
clump8	1	82
clump9	1	83
clump10	1	84
clump11	1	85
clump12	1	129
clump13	1	130
clump14	1	131
clump15	1	134
clump16	1	145
clump17	1	147
clump18	1	189
clump19	1	195
clump20	1	196
clump21	1	197
clump22	1	198
clump23	1	205
clump24	1	213
clump25	1	214
clump26	1	221
clump27	1	227
clump28	1	247
clump29	1	251
clump30	1	252
clump31	1	268
clump32	1	270
clump33	1	303
clump34	1	304
clump35	1	305
clump36	1	306
clump37	1	337
clump38	1	338
clump39	1	353
clump40	1	359
clump41	1	368
clump42	1	369
clump43	1	370
clump44	1	371
clump45	1	372
clump46	1	373
clump47	1	374
clump48	1	375
clump49	1	406
clump50	1	407
clump51	1	408
clump52	1	409
clump53	1	410
clump54	1	411
clump55	1	422
clump56	1	438
clump57	1	439
clump58	1	444
clump59	1	445
clump60	1	483
clump61	1	491
clump62	1	494
clump63	1	553
clump64	1	562
clump65	1	623
clump66	1	626
clump67	1	632
clump68	1	647
clump69	1	655
clump70	1	664
clump71	1	685
clump72	1	686
clump73	1	705
clump74	1	707
clump75	1	723
clump76	1	728
clump77	1	733
clump78	1	734
clump79	1	746
clump80	1	747
clump81	1	748
clump82	1	768
clump83	1	771
clump84	1	812
clump85	1	857
clump86	1	889
clump87	1	890
clump88	1	896
clump89	1	904
clump90	1	905
clump91	1	912
clump92	1	913
clump93	1	914
clump94	1	920
clump95	1	921
clump96	1	941
clump97	1	959
clump98	1	970
clump99	1	1141
clump100	1	1192
clump101	1	1199
clump102	1	1200
clump103	1	1201
clump104	1	1202
clump105	1	1203
clump106	1	1204
clump107	1	1205
clump108	1	1206
clump109	1	1207
clump110	1	1208
clump111	1	1209
clump112	1	1210
clump113	1	1212
clump114	1	1213
clump115	1	1218
clump116	1	1230
clump117	1	1231
clump118	1	1232
clump119	1	1233
clump120	1	1234
clump121	1	1238
clump122	1	1239
clump123	1	1240
clump124	1	1241
clump125	1	1242
clump126	1	1243
