	CHR	ChromosomePatch
clump1	1	81
clump2	1	84
clump3	1	130
clump4	1	131
clump5	1	369
clump6	1	370
clump7	1	371
clump8	1	372
clump9	1	373
clump10	1	374
clump11	1	705
clump12	1	1201
clump13	1	1204
clump14	1	1205
clump15	1	1206
clump16	1	1207
clump17	1	1230
clump18	1	1231
clump19	1	1232
clump20	1	1233
clump21	1	1234
clump22	1	1238
clump23	1	1239
clump24	1	1240
clump25	1	1242
clump26	1	1244
clump27	1	1245
clump28	1	1256
clump29	1	1306
clump30	1	1336
clump31	1	1337
clump32	1	1439
clump33	1	1463
clump34	1	1464
clump35	1	1632
clump36	1	1635
clump37	1	1636
clump38	1	1645
clump39	1	1646
clump40	2	68
clump41	2	80
clump42	2	81
clump43	2	85
clump44	2	86
clump45	2	127
clump46	2	128
clump47	2	167
clump48	2	344
clump49	2	345
clump50	2	347
clump51	2	348
clump52	2	349
clump53	2	350
clump54	2	351
clump55	2	501
clump56	2	502
clump57	2	503
clump58	2	504
clump59	2	505
clump60	2	506
clump61	2	507
clump62	2	508
clump63	2	509
clump64	2	510
clump65	2	511
clump66	2	512
clump67	2	513
clump68	2	514
clump69	2	515
clump70	2	533
clump71	2	685
clump72	2	686
clump73	2	687
clump74	2	894
clump75	2	895
clump76	2	968
clump77	2	971
clump78	2	1352
clump79	2	1385
clump80	2	1386
clump81	2	1387
clump82	2	1388
clump83	2	1389
clump84	2	1393
clump85	2	1616
clump86	2	1617
clump87	2	1664
clump88	2	1906
clump89	2	1907
clump90	2	1934
clump91	2	1935
clump92	2	1936
clump93	2	1937
clump94	2	1938
clump95	2	1939
clump96	2	1940
clump97	2	1941
clump98	3	149
clump99	3	150
clump100	3	185
clump101	3	396
clump102	3	397
clump103	3	398
clump104	3	399
clump105	3	566
clump106	3	693
clump107	3	695
clump108	3	696
clump109	3	697
clump110	3	698
clump111	3	699
clump112	3	702
clump113	3	855
clump114	3	857
clump115	3	903
clump116	3	904
clump117	3	905
clump118	3	906
clump119	3	1020
clump120	3	1021
clump121	3	1022
clump122	3	1023
clump123	3	1024
clump124	3	1025
clump125	3	1026
clump126	3	1037
clump127	3	1100
clump128	3	1128
clump129	3	1129
clump130	3	1215
clump131	3	1216
clump132	3	1217
clump133	3	1355
clump134	3	1356
clump135	3	1357
clump136	3	1358
clump137	3	1359
clump138	3	1360
clump139	3	1361
clump140	3	1379
clump141	4	589
clump142	4	590
clump143	4	591
clump144	4	592
clump145	4	594
clump146	4	595
clump147	4	596
clump148	4	762
clump149	4	763
clump150	4	764
clump151	4	847
clump152	4	848
clump153	4	849
clump154	4	850
clump155	4	851
clump156	4	1127
clump157	4	1175
clump158	4	1215
clump159	4	1216
clump160	5	9
clump161	5	10
clump162	5	12
clump163	5	14
clump164	5	15
clump165	5	302
clump166	5	448
clump167	5	449
clump168	5	1070
clump169	5	1071
clump170	5	1353
clump171	5	1421
clump172	5	1422
clump173	5	1423
clump174	6	13
clump175	6	89
clump176	6	170
clump177	6	171
clump178	6	174
clump179	6	175
clump180	6	178
clump181	6	236
clump182	6	237
clump183	6	238
clump184	6	239
clump185	6	240
clump186	6	241
clump187	6	242
clump188	6	243
clump189	6	244
clump190	6	245
clump191	6	246
clump192	6	247
clump193	6	248
clump194	6	249
clump195	6	250
clump196	6	251
clump197	6	252
clump198	6	253
clump199	6	254
clump200	6	256
clump201	6	257
clump202	6	258
clump203	6	259
clump204	6	260
clump205	6	261
clump206	6	262
clump207	6	263
clump208	6	264
clump209	6	276
clump210	6	277
clump211	6	278
clump212	6	332
clump213	6	349
clump214	6	609
clump215	6	610
clump216	6	611
clump217	6	612
clump218	6	874
clump219	6	875
clump220	6	876
clump221	6	936
clump222	6	937
clump223	6	938
clump224	6	1074
clump225	6	1226
clump226	6	1227
clump227	6	1228
clump228	6	1279
clump229	6	1280
clump230	6	1281
clump231	6	1282
clump232	6	1283
clump233	6	1284
clump234	6	1285
clump235	6	1286
clump236	6	1287
clump237	6	1288
clump238	6	1289
clump239	6	1290
clump240	7	15
clump241	7	163
clump242	7	166
clump243	7	167
clump244	7	168
clump245	7	169
clump246	7	174
clump247	7	217
clump248	7	219
clump249	7	220
clump250	7	221
clump251	7	222
clump252	7	223
clump253	7	224
clump254	7	326
clump255	7	327
clump256	7	379
clump257	7	380
clump258	7	381
clump259	7	740
clump260	7	781
clump261	7	782
clump262	7	783
clump263	7	784
clump264	8	67
clump265	8	68
clump266	8	89
clump267	8	186
clump268	8	187
clump269	8	188
clump270	8	207
clump271	8	208
clump272	8	309
clump273	8	871
clump274	8	1021
clump275	8	1022
clump276	8	1023
clump277	8	1024
clump278	8	1025
clump279	8	1026
clump280	8	1027
clump281	8	1028
clump282	8	1029
clump283	9	148
clump284	9	152
clump285	9	175
clump286	9	176
clump287	9	270
clump288	9	271
clump289	9	272
clump290	9	656
clump291	9	876
clump292	9	881
clump293	9	882
clump294	9	1043
clump295	9	1060
clump296	9	1121
clump297	10	6
clump298	10	7
clump299	10	363
clump300	10	364
clump301	10	366
clump302	10	367
clump303	10	368
clump304	10	369
clump305	10	376
clump306	10	380
clump307	10	409
clump308	10	410
clump309	10	411
clump310	10	412
clump311	10	413
clump312	10	502
clump313	10	641
clump314	10	642
clump315	10	646
clump316	10	721
clump317	10	833
clump318	10	834
clump319	10	835
clump320	10	836
clump321	10	917
clump322	10	981
clump323	10	982
clump324	10	983
clump325	10	984
clump326	10	985
clump327	10	1012
clump328	10	1013
clump329	11	12
clump330	11	17
clump331	11	18
clump332	11	60
clump333	11	469
clump334	11	470
clump335	11	471
clump336	11	472
clump337	11	495
clump338	11	523
clump339	11	529
clump340	11	531
clump341	11	532
clump342	11	533
clump343	11	534
clump344	11	535
clump345	11	536
clump346	11	537
clump347	11	550
clump348	11	551
clump349	11	552
clump350	11	553
clump351	11	554
clump352	11	555
clump353	11	609
clump354	11	610
clump355	11	819
clump356	11	865
