	CHR	ChromosomePatch
clump1	1	12
clump2	1	17
clump3	1	19
clump4	1	32
clump5	1	39
clump6	1	40
clump7	1	41
clump8	1	42
clump9	1	64
clump10	1	65
clump11	1	67
clump12	1	72
clump13	1	73
clump14	1	94
clump15	1	97
clump16	1	98
clump17	1	99
clump18	1	102
clump19	1	106
clump20	1	107
clump21	1	110
clump22	1	113
clump23	1	123
clump24	1	125
clump25	1	126
clump26	1	134
clump27	1	135
clump28	1	151
clump29	1	152
clump30	1	153
clump31	1	168
clump32	1	169
clump33	1	176
clump34	1	179
clump35	1	184
clump36	1	185
clump37	1	186
clump38	1	187
clump39	1	203
clump40	1	204
clump41	1	205
clump42	1	211
clump43	1	219
clump44	1	222
clump45	1	241
clump46	1	245
clump47	1	247
clump48	1	276
clump49	1	281
clump50	1	311
clump51	1	313
clump52	1	316
clump53	1	323
clump54	1	327
clump55	1	332
clump56	1	342
clump57	1	343
clump58	1	352
clump59	1	353
clump60	1	361
clump61	1	364
clump62	1	366
clump63	1	367
clump64	1	373
clump65	1	374
clump66	1	384
clump67	1	385
clump68	1	406
clump69	1	428
clump70	1	444
clump71	1	445
clump72	1	448
clump73	1	452
clump74	1	456
clump75	1	457
clump76	1	460
clump77	1	470
clump78	1	479
clump79	1	485
clump80	1	570
clump81	1	596
clump82	1	599
clump83	1	600
clump84	1	601
clump85	1	602
clump86	1	603
clump87	1	604
clump88	1	605
clump89	1	606
clump90	1	609
clump91	1	615
clump92	1	616
clump93	1	617
clump94	1	619
clump95	1	620
clump96	1	621
clump97	1	622
clump98	1	623
clump99	1	624
clump100	1	626
clump101	1	627
clump102	1	628
clump103	1	638
clump104	1	640
clump105	1	646
clump106	1	652
clump107	1	653
clump108	1	658
clump109	1	659
clump110	1	667
clump111	1	668
clump112	1	669
clump113	1	670
clump114	1	676
clump115	1	693
clump116	1	697
clump117	1	709
clump118	1	712
clump119	1	715
clump120	1	716
clump121	1	717
clump122	1	718
clump123	1	719
clump124	1	720
clump125	1	728
clump126	1	730
clump127	1	731
clump128	1	732
clump129	1	736
clump130	1	737
clump131	1	768
clump132	1	799
clump133	1	800
clump134	1	801
clump135	1	802
clump136	1	803
clump137	1	804
clump138	1	809
clump139	1	816
clump140	1	817
clump141	1	818
clump142	1	819
clump143	1	822
clump144	1	823
clump145	1	848
clump146	1	849
clump147	1	853
clump148	1	875
clump149	1	876
clump150	1	893
clump151	1	908
clump152	1	912
clump153	1	913
clump154	1	918
clump155	1	934
clump156	1	945
clump157	1	960
clump158	1	967
clump159	1	987
clump160	1	988
clump161	1	989
clump162	2	1
clump163	2	3
clump164	2	34
clump165	2	40
clump166	2	42
clump167	2	43
clump168	2	45
clump169	2	63
clump170	2	64
clump171	2	71
clump172	2	72
clump173	2	83
clump174	2	84
clump175	2	95
clump176	2	106
clump177	2	111
clump178	2	112
clump179	2	113
clump180	2	115
clump181	2	133
clump182	2	146
clump183	2	148
clump184	2	149
clump185	2	151
clump186	2	169
clump187	2	170
clump188	2	171
clump189	2	172
clump190	2	173
clump191	2	174
clump192	2	175
clump193	2	186
clump194	2	189
clump195	2	211
clump196	2	226
clump197	2	231
clump198	2	232
clump199	2	233
clump200	2	250
clump201	2	251
clump202	2	252
clump203	2	253
clump204	2	254
clump205	2	255
clump206	2	256
clump207	2	257
clump208	2	259
clump209	2	260
clump210	2	265
clump211	2	266
clump212	2	269
clump213	2	276
clump214	2	277
clump215	2	288
clump216	2	289
clump217	2	302
clump218	2	335
clump219	2	342
clump220	2	343
clump221	2	356
clump222	2	400
clump223	2	401
clump224	2	428
clump225	2	434
clump226	2	438
clump227	2	447
clump228	2	453
clump229	2	466
clump230	2	480
clump231	2	484
clump232	2	485
clump233	2	491
clump234	2	522
clump235	2	524
clump236	2	536
clump237	2	537
clump238	2	538
clump239	2	577
clump240	2	578
clump241	2	593
clump242	2	594
clump243	2	595
clump244	2	608
clump245	2	609
clump246	2	616
clump247	2	621
clump248	2	639
clump249	2	653
clump250	2	667
clump251	2	668
clump252	2	670
clump253	2	675
clump254	2	676
clump255	2	677
clump256	2	679
clump257	2	692
clump258	2	693
clump259	2	694
clump260	2	695
clump261	2	696
clump262	2	698
clump263	2	707
clump264	2	723
clump265	2	724
clump266	2	725
clump267	2	729
clump268	2	732
clump269	2	765
clump270	2	791
clump271	2	792
clump272	2	800
clump273	2	806
clump274	2	807
clump275	2	808
clump276	2	809
clump277	2	832
clump278	2	833
clump279	2	848
clump280	2	853
clump281	2	855
clump282	2	856
clump283	2	859
clump284	2	864
clump285	2	873
clump286	2	920
clump287	2	921
clump288	2	929
clump289	2	934
clump290	2	942
clump291	2	943
clump292	2	953
clump293	2	954
clump294	2	960
clump295	2	964
clump296	2	965
clump297	2	966
clump298	2	967
clump299	2	968
clump300	2	969
clump301	2	970
clump302	3	6
clump303	3	29
clump304	3	34
clump305	3	45
clump306	3	46
clump307	3	51
clump308	3	62
clump309	3	66
clump310	3	72
clump311	3	73
clump312	3	74
clump313	3	75
clump314	3	88
clump315	3	90
clump316	3	91
clump317	3	92
clump318	3	93
clump319	3	94
clump320	3	95
clump321	3	96
clump322	3	99
clump323	3	151
clump324	3	174
clump325	3	175
clump326	3	192
clump327	3	193
clump328	3	194
clump329	3	195
clump330	3	196
clump331	3	197
clump332	3	198
clump333	3	199
clump334	3	200
clump335	3	201
clump336	3	202
clump337	3	227
clump338	3	228
clump339	3	229
clump340	3	230
clump341	3	239
clump342	3	247
clump343	3	252
clump344	3	259
clump345	3	282
clump346	3	283
clump347	3	284
clump348	3	285
clump349	3	288
clump350	3	290
clump351	3	308
clump352	3	314
clump353	3	316
clump354	3	344
clump355	3	346
clump356	3	347
clump357	3	348
clump358	3	349
clump359	3	350
clump360	3	351
clump361	3	352
clump362	3	353
clump363	3	354
clump364	3	355
clump365	3	356
clump366	3	358
clump367	3	360
clump368	3	409
clump369	3	410
clump370	3	421
clump371	3	427
clump372	3	428
clump373	3	429
clump374	3	433
clump375	3	451
clump376	3	452
clump377	3	453
clump378	3	458
clump379	3	459
clump380	3	475
clump381	3	476
clump382	3	507
clump383	3	508
clump384	3	510
clump385	3	511
clump386	3	512
clump387	3	513
clump388	3	516
clump389	3	517
clump390	3	518
clump391	3	527
clump392	3	528
clump393	3	535
clump394	3	549
clump395	3	550
clump396	3	555
clump397	3	562
clump398	3	564
clump399	3	565
clump400	3	587
clump401	3	589
clump402	3	596
clump403	3	600
clump404	3	601
clump405	3	607
clump406	3	608
clump407	3	610
clump408	3	614
clump409	3	615
clump410	3	616
clump411	3	620
clump412	3	626
clump413	3	640
clump414	3	641
clump415	3	661
clump416	3	669
clump417	3	676
clump418	3	677
clump419	3	678
clump420	3	679
clump421	3	680
clump422	3	681
clump423	3	683
clump424	3	688
clump425	3	689
clump426	3	691
clump427	3	693
clump428	3	704
clump429	3	729
clump430	3	730
clump431	3	733
clump432	3	734
clump433	3	736
clump434	3	737
clump435	3	758
clump436	3	761
clump437	4	2
clump438	4	9
clump439	4	15
clump440	4	64
clump441	4	152
clump442	4	157
clump443	4	158
clump444	4	160
clump445	4	161
clump446	4	170
clump447	4	187
clump448	4	218
clump449	4	229
clump450	4	235
clump451	4	236
clump452	4	254
clump453	4	279
clump454	4	280
clump455	4	281
clump456	4	293
clump457	4	294
clump458	4	295
clump459	4	296
clump460	4	297
clump461	4	298
clump462	4	310
clump463	4	312
clump464	4	313
clump465	4	318
clump466	4	338
clump467	4	343
clump468	4	359
clump469	4	360
clump470	4	364
clump471	4	367
clump472	4	379
clump473	4	380
clump474	4	381
clump475	4	382
clump476	4	386
clump477	4	412
clump478	4	413
clump479	4	420
