	CHR	ChromosomePatch
clump1	1	40
clump2	1	42
clump3	1	65
clump4	1	184
clump5	1	185
clump6	1	186
clump7	1	187
clump8	1	352
clump9	1	600
clump10	1	602
clump11	1	603
clump12	1	615
clump13	1	616
clump14	1	617
clump15	1	619
clump16	1	620
clump17	1	621
clump18	1	622
clump19	1	628
clump20	1	653
clump21	1	668
clump22	1	719
clump23	1	731
clump24	1	732
clump25	1	816
clump26	1	817
clump27	1	818
clump28	1	822
clump29	1	823
clump30	2	34
clump31	2	40
clump32	2	42
clump33	2	43
clump34	2	63
clump35	2	64
clump36	2	83
clump37	2	172
clump38	2	173
clump39	2	174
clump40	2	175
clump41	2	250
clump42	2	251
clump43	2	252
clump44	2	253
clump45	2	254
clump46	2	255
clump47	2	256
clump48	2	257
clump49	2	266
clump50	2	342
clump51	2	343
clump52	2	447
clump53	2	484
clump54	2	485
clump55	2	676
clump56	2	692
clump57	2	693
clump58	2	694
clump59	2	696
clump60	2	808
clump61	2	832
clump62	2	953
clump63	2	967
clump64	2	968
clump65	2	969
clump66	2	970
clump67	3	74
clump68	3	75
clump69	3	92
clump70	3	198
clump71	3	199
clump72	3	283
clump73	3	346
clump74	3	347
clump75	3	348
clump76	3	349
clump77	3	351
clump78	3	427
clump79	3	428
clump80	3	451
clump81	3	452
clump82	3	453
clump83	3	510
clump84	3	511
clump85	3	512
clump86	3	513
clump87	3	518
clump88	3	550
clump89	3	564
clump90	3	607
clump91	3	608
clump92	3	677
clump93	3	678
clump94	3	679
clump95	3	680
clump96	3	689
clump97	4	294
clump98	4	295
clump99	4	296
clump100	4	297
clump101	4	298
clump102	4	381
clump103	4	382
clump104	4	423
clump105	4	424
clump106	4	425
clump107	4	563
clump108	4	587
clump109	4	607
clump110	4	608
clump111	5	4
clump112	5	5
clump113	5	6
clump114	5	7
clump115	5	151
clump116	5	224
clump117	5	535
clump118	5	676
clump119	5	710
clump120	5	711
clump121	6	6
clump122	6	44
clump123	6	85
clump124	6	87
clump125	6	89
clump126	6	118
clump127	6	119
clump128	6	120
clump129	6	121
clump130	6	122
clump131	6	123
clump132	6	124
clump133	6	125
clump134	6	126
clump135	6	127
clump136	6	128
clump137	6	129
clump138	6	130
clump139	6	131
clump140	6	132
clump141	6	138
clump142	6	139
clump143	6	166
clump144	6	174
clump145	6	304
clump146	6	305
clump147	6	306
clump148	6	437
clump149	6	438
clump150	6	468
clump151	6	469
clump152	6	537
clump153	6	613
