	CHR	ChromosomePatch
clump1	1	4
clump2	1	5
clump3	1	7
clump4	1	8
clump5	1	10
clump6	1	11
clump7	1	12
clump8	1	13
clump9	1	17
clump10	1	18
clump11	1	19
clump12	1	20
clump13	1	22
clump14	1	23
clump15	1	26
clump16	1	27
clump17	1	28
clump18	1	30
clump19	1	31
clump20	1	32
clump21	1	34
clump22	1	37
clump23	1	39
clump24	1	40
clump25	1	41
clump26	1	42
clump27	1	43
clump28	1	45
clump29	1	48
clump30	1	53
clump31	1	55
clump32	1	56
clump33	1	61
clump34	1	62
clump35	1	63
clump36	1	64
clump37	1	65
clump38	1	66
clump39	1	67
clump40	1	69
clump41	1	70
clump42	1	71
clump43	1	72
clump44	1	73
clump45	1	74
clump46	1	76
clump47	1	77
clump48	1	79
clump49	1	80
clump50	1	81
clump51	1	82
clump52	1	84
clump53	1	87
clump54	1	88
clump55	1	90
clump56	1	92
clump57	1	94
clump58	1	95
clump59	1	96
clump60	1	97
clump61	1	98
clump62	1	99
clump63	1	102
clump64	1	103
clump65	1	104
clump66	1	105
clump67	1	106
clump68	1	107
clump69	1	109
clump70	1	110
clump71	1	111
clump72	1	112
clump73	1	113
clump74	1	114
clump75	1	115
clump76	1	116
clump77	1	118
clump78	1	120
clump79	1	122
clump80	1	123
clump81	1	124
clump82	1	125
clump83	1	126
clump84	1	127
clump85	1	129
clump86	1	132
clump87	1	134
clump88	1	135
clump89	1	136
clump90	1	137
clump91	1	138
clump92	1	141
clump93	1	142
clump94	1	147
clump95	1	148
clump96	1	151
clump97	1	152
clump98	1	153
clump99	1	154
clump100	1	155
clump101	1	156
clump102	1	157
clump103	1	158
clump104	1	161
clump105	1	163
clump106	1	164
clump107	1	168
clump108	1	169
clump109	1	170
clump110	1	173
clump111	1	174
clump112	1	176
clump113	1	177
clump114	1	179
clump115	1	182
clump116	1	183
clump117	1	184
clump118	1	185
clump119	1	186
clump120	1	187
clump121	1	190
clump122	1	191
clump123	1	192
clump124	1	193
clump125	1	196
clump126	1	202
clump127	1	203
clump128	1	204
clump129	1	205
clump130	1	206
clump131	1	210
clump132	1	211
clump133	1	212
clump134	1	213
clump135	1	214
clump136	1	216
clump137	1	217
clump138	1	219
clump139	1	222
clump140	1	224
clump141	1	225
clump142	1	227
clump143	1	231
clump144	1	235
clump145	1	239
clump146	1	240
clump147	1	241
clump148	1	242
clump149	1	245
clump150	1	247
clump151	1	248
clump152	1	250
clump153	1	254
clump154	1	260
clump155	1	262
clump156	1	270
clump157	1	271
clump158	1	276
clump159	1	277
clump160	1	278
clump161	1	279
clump162	1	280
clump163	1	281
clump164	1	284
clump165	1	286
clump166	1	287
clump167	1	288
clump168	1	289
clump169	1	295
clump170	1	297
clump171	1	298
clump172	1	302
clump173	1	307
clump174	1	308
clump175	1	309
clump176	1	310
clump177	1	311
clump178	1	312
clump179	1	313
clump180	1	314
clump181	1	315
clump182	1	316
clump183	1	317
clump184	1	321
clump185	1	323
clump186	1	325
clump187	1	326
clump188	1	327
clump189	1	330
clump190	1	331
clump191	1	332
clump192	1	334
clump193	1	335
clump194	1	341
clump195	1	342
clump196	1	343
clump197	1	350
clump198	1	352
clump199	1	353
clump200	1	354
