	CHR	ChromosomePatch
clump1	1	40
clump2	1	41
clump3	1	42
clump4	1	65
clump5	1	98
clump6	1	99
clump7	1	125
clump8	1	184
clump9	1	185
clump10	1	186
clump11	1	187
clump12	1	205
clump13	1	222
clump14	1	241
clump15	1	245
clump16	1	352
clump17	1	367
clump18	1	460
clump19	1	570
clump20	1	600
clump21	1	601
clump22	1	602
clump23	1	603
clump24	1	604
clump25	1	615
clump26	1	616
clump27	1	617
clump28	1	619
clump29	1	620
clump30	1	621
clump31	1	622
clump32	1	623
clump33	1	624
clump34	1	628
clump35	1	652
clump36	1	653
clump37	1	658
clump38	1	659
clump39	1	668
clump40	1	669
clump41	1	670
clump42	1	676
clump43	1	697
clump44	1	718
clump45	1	719
clump46	1	731
clump47	1	732
clump48	1	736
clump49	1	737
clump50	1	799
clump51	1	802
clump52	1	803
clump53	1	804
clump54	1	816
clump55	1	817
clump56	1	818
clump57	1	819
clump58	1	822
clump59	1	823
clump60	1	934
clump61	2	3
clump62	2	34
clump63	2	40
clump64	2	42
clump65	2	43
clump66	2	63
clump67	2	64
clump68	2	83
clump69	2	84
clump70	2	111
clump71	2	112
clump72	2	113
clump73	2	133
clump74	2	151
clump75	2	169
clump76	2	171
clump77	2	172
clump78	2	173
clump79	2	174
clump80	2	175
clump81	2	189
clump82	2	233
clump83	2	250
clump84	2	251
clump85	2	252
clump86	2	253
clump87	2	254
clump88	2	255
clump89	2	256
clump90	2	257
clump91	2	260
clump92	2	266
clump93	2	277
clump94	2	342
clump95	2	343
clump96	2	447
clump97	2	453
clump98	2	484
clump99	2	485
clump100	2	537
clump101	2	538
clump102	2	577
clump103	2	594
clump104	2	667
clump105	2	675
clump106	2	676
clump107	2	692
clump108	2	693
clump109	2	694
clump110	2	695
clump111	2	696
clump112	2	707
clump113	2	724
clump114	2	725
clump115	2	791
clump116	2	806
clump117	2	807
clump118	2	808
clump119	2	809
clump120	2	832
clump121	2	855
clump122	2	934
clump123	2	953
clump124	2	954
clump125	2	965
clump126	2	966
clump127	2	967
clump128	2	968
clump129	2	969
clump130	2	970
clump131	3	46
clump132	3	72
clump133	3	73
clump134	3	74
clump135	3	75
clump136	3	92
clump137	3	96
clump138	3	175
clump139	3	192
clump140	3	193
clump141	3	194
clump142	3	195
clump143	3	196
clump144	3	197
clump145	3	198
clump146	3	199
clump147	3	200
clump148	3	227
clump149	3	228
clump150	3	259
clump151	3	283
clump152	3	346
clump153	3	347
clump154	3	348
clump155	3	349
clump156	3	351
clump157	3	352
clump158	3	353
clump159	3	360
clump160	3	427
clump161	3	428
clump162	3	451
clump163	3	452
clump164	3	453
clump165	3	458
clump166	3	510
clump167	3	511
clump168	3	512
clump169	3	513
clump170	3	517
clump171	3	518
clump172	3	527
clump173	3	528
clump174	3	549
clump175	3	550
clump176	3	564
clump177	3	565
clump178	3	587
clump179	3	601
clump180	3	607
clump181	3	608
clump182	3	614
clump183	3	640
clump184	3	641
clump185	3	661
clump186	3	676
clump187	3	677
clump188	3	678
clump189	3	679
clump190	3	680
clump191	3	683
clump192	3	688
clump193	3	689
clump194	3	758
clump195	4	2
clump196	4	157
clump197	4	218
clump198	4	280
clump199	4	281
clump200	4	294
clump201	4	295
clump202	4	296
clump203	4	297
clump204	4	298
clump205	4	310
clump206	4	359
clump207	4	379
clump208	4	380
clump209	4	381
clump210	4	382
clump211	4	422
clump212	4	423
clump213	4	424
clump214	4	425
clump215	4	426
clump216	4	427
clump217	4	563
clump218	4	587
clump219	4	603
clump220	4	607
clump221	4	608
clump222	4	691
clump223	4	711
clump224	4	715
clump225	4	717
clump226	5	4
clump227	5	5
clump228	5	6
clump229	5	7
clump230	5	8
clump231	5	57
clump232	5	151
clump233	5	177
clump234	5	207
clump235	5	208
clump236	5	224
clump237	5	225
clump238	5	228
clump239	5	263
clump240	5	264
clump241	5	293
clump242	5	443
clump243	5	535
clump244	5	536
clump245	5	556
clump246	5	591
clump247	5	637
clump248	5	638
clump249	5	676
clump250	5	691
clump251	5	706
clump252	5	710
clump253	5	711
clump254	5	712
clump255	6	6
clump256	6	44
clump257	6	45
clump258	6	85
clump259	6	87
clump260	6	89
clump261	6	90
clump262	6	106
clump263	6	109
clump264	6	110
clump265	6	114
clump266	6	118
clump267	6	119
clump268	6	120
clump269	6	121
clump270	6	122
clump271	6	123
clump272	6	124
clump273	6	125
clump274	6	126
clump275	6	127
clump276	6	128
clump277	6	129
clump278	6	130
clump279	6	131
clump280	6	132
clump281	6	133
clump282	6	138
clump283	6	139
clump284	6	140
clump285	6	148
clump286	6	166
clump287	6	174
clump288	6	281
clump289	6	304
clump290	6	305
clump291	6	306
clump292	6	351
clump293	6	437
clump294	6	438
clump295	6	467
clump296	6	468
clump297	6	469
clump298	6	470
clump299	6	521
clump300	6	537
clump301	6	559
clump302	6	608
clump303	6	613
clump304	6	614
clump305	6	639
clump306	6	640
clump307	6	641
clump308	6	642
clump309	6	643
clump310	6	644
clump311	6	645
clump312	6	646
clump313	6	677
clump314	7	7
clump315	7	8
clump316	7	81
clump317	7	83
clump318	7	84
clump319	7	85
clump320	7	87
clump321	7	104
clump322	7	108
clump323	7	109
clump324	7	110
clump325	7	111
clump326	7	112
clump327	7	145
clump328	7	146
clump329	7	163
clump330	7	167
clump331	7	189
clump332	7	190
clump333	7	325
clump334	7	370
clump335	7	390
clump336	7	391
clump337	7	392
clump338	7	421
clump339	7	497
clump340	8	33
clump341	8	34
clump342	8	44
clump343	8	47
clump344	8	91
clump345	8	92
clump346	8	93
clump347	8	94
clump348	8	103
clump349	8	104
clump350	8	154
clump351	8	155
clump352	8	321
clump353	8	324
clump354	8	396
clump355	8	409
clump356	8	411
clump357	8	435
clump358	8	436
clump359	8	439
clump360	8	464
clump361	8	468
clump362	8	469
clump363	8	505
clump364	8	510
clump365	8	511
clump366	8	512
clump367	8	513
clump368	8	514
clump369	8	515
clump370	8	522
clump371	8	525
clump372	8	579
clump373	9	12
clump374	9	13
clump375	9	24
clump376	9	25
clump377	9	42
clump378	9	74
clump379	9	75
clump380	9	76
clump381	9	87
clump382	9	88
clump383	9	134
clump384	9	135
clump385	9	136
clump386	9	328
clump387	9	363
clump388	9	369
clump389	9	397
clump390	9	398
clump391	9	438
clump392	9	440
clump393	9	441
clump394	9	521
clump395	9	530
clump396	9	560
clump397	10	3
clump398	10	4
clump399	10	18
clump400	10	19
clump401	10	22
clump402	10	23
clump403	10	53
clump404	10	54
clump405	10	85
clump406	10	91
clump407	10	95
clump408	10	181
clump409	10	182
clump410	10	183
clump411	10	184
clump412	10	185
clump413	10	186
clump414	10	187
clump415	10	188
clump416	10	190
clump417	10	195
clump418	10	196
clump419	10	203
clump420	10	204
clump421	10	205
clump422	10	206
clump423	10	249
clump424	10	251
clump425	10	320
clump426	10	321
clump427	10	323
clump428	10	360
clump429	10	361
clump430	10	378
clump431	10	416
clump432	10	417
clump433	10	418
clump434	10	422
clump435	10	458
clump436	10	470
clump437	10	471
clump438	10	490
clump439	10	491
clump440	10	492
clump441	10	493
clump442	10	505
